Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119110-90428,RB,Tyler,Tyler Allgeier,Allgeier,6.041176291,17,5000,TB@ATL,ATL,TB,,,,,,RB/FLEX
119110-27050,WR,Tyler,Tyler Lockett,Lockett,5.676470588,17,5000,TEN@DEN,TEN,DEN,,,,,,WR/FLEX
119110-169410,RB,Quinshon,Quinshon Judkins,Judkins,,0,5000,CIN@CLE,CLE,CIN,,,,,,RB/FLEX
119110-45565,TE,Taysom,Taysom Hill,Hill,11.85499954,8,5000,ARI@NO,NO,ARI,NA,Knee - acl,,,,TE/FLEX
119110-89612,WR,Michael,Michael Wilson,Wilson,6.3125,16,5000,ARI@NO,ARI,NO,,,,,,WR/FLEX
119110-47870,TE,Tyler,Tyler Higbee,Higbee,9.159999847,5,5000,HOU@LAR,LAR,HOU,,,,,,TE/FLEX
119110-86811,TE,Cade,Cade Otton,Otton,7.88666687,15,5000,TB@ATL,TB,ATL,,,,,,TE/FLEX
119110-169776,WR,Christian,Christian Watson,Watson,6.914285932,14,5000,DET@GB,GB,DET,NA,Knee - acl,,,,WR/FLEX
119110-40845,TE,Hunter,Hunter Henry,Henry,7.212500095,16,5000,LV@NE,NE,LV,,,,,,TE/FLEX
119110-72776,RB,Alexander,Alexander Mattison,Mattison,7.960000102,15,4900,MIA@IND,MIA,IND,IR,Neck,,,,RB/FLEX
119110-88297,TE,Chig,Chig Okonkwo,Okonkwo,5.474999905,16,4900,TEN@DEN,TEN,DEN,,,,,,TE/FLEX
119110-185593,WR,Andrei,Andrei Iosivas,Iosivas,5.994117737,17,4900,CIN@CLE,CIN,CLE,,,,,,WR/FLEX
119110-137516,WR,Parker,Parker Washington,Washington,6,14,4900,CAR@JAC,JAC,CAR,,,,,,WR/FLEX
119110-55042,TE,Dalton,Dalton Schultz,Schultz,5.436842266,19,4900,HOU@LAR,HOU,LAR,,,,,,TE/FLEX
119110-57091,WR,Tim,Tim Patrick,Patrick,4.912499905,16,4900,DET@GB,DET,GB,,,,,,WR/FLEX
119110-90933,RB,Antonio,Antonio Gibson,Gibson,5.405882443,17,4900,LV@NE,NE,LV,,,,,,RB/FLEX
119110-53097,WR,Josh,Josh Reynolds,Reynolds,3.987499952,8,4900,PIT@NYJ,NYJ,PIT,,,,,,WR/FLEX
119110-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,5.327777863,18,4900,DET@GB,GB,DET,Q,Calf,,,,WR/FLEX
119110-56265,TE,Mike,Mike Gesicki,Gesicki,7,16,4900,CIN@CLE,CIN,CLE,Q,Hamstring,,,,TE/FLEX
119110-103376,RB,Zach,Zach Charbonnet,Charbonnet,9.935293759,17,4900,SF@SEA,SEA,SF,,,,,,RB/FLEX
119110-71705,TE,Noah,Noah Fant,Fant,5.333333333,15,4800,CIN@CLE,CIN,CLE,,,,,,TE/FLEX
119110-103511,WR,Devaughn,Devaughn Vele,Vele,6.142857143,14,4800,ARI@NO,NO,ARI,,,,,,WR/FLEX
119110-68712,WR,Tyler,Tyler Johnson,Johnson,4.372727134,11,4800,PIT@NYJ,NYJ,PIT,,,,,,WR/FLEX
119110-168054,TE,Mason,Mason Taylor,Taylor,,0,4800,PIT@NYJ,NYJ,PIT,,,,,,TE/FLEX
